n,time
720,0.004924893379211426
721,0.005154252052307129
722,0.0050934553146362305
723,0.004990935325622559
724,0.00513911247253418
725,0.005192875862121582
726,0.0051076412200927734
727,0.005211353302001953
728,0.005191445350646973
729,0.005039691925048828
730,0.005180835723876953
731,0.005213379859924316
732,0.005067348480224609
733,0.005103111267089844
734,0.0052100419998168945
735,0.005224347114562988
736,0.0052394866943359375
737,0.005299687385559082
738,0.00529026985168457
739,0.005328178405761719
740,0.005213499069213867
741,0.005258321762084961
742,0.005326390266418457
743,0.00530397891998291
744,0.005265593528747559
745,0.005368471145629883
746,0.005296111106872559
747,0.005314946174621582
748,0.005397439002990723
749,0.0054749250411987305
750,0.005409717559814453
751,0.00540769100189209
752,0.005433320999145508
753,0.005491375923156738
754,0.005504727363586426
755,0.005578041076660156
756,0.005503654479980469
757,0.005493760108947754
758,0.005511760711669922
759,0.005536317825317383
760,0.005520820617675781
761,0.005535006523132324
762,0.005653977394104004
763,0.005639433860778809
764,0.005601763725280762
765,0.005632758140563965
766,0.005872964859008789
767,0.0057146549224853516
768,0.005831003189086914
769,0.005791068077087402
770,0.0058258771896362305
771,0.0058890581130981445
772,0.005819916725158691
773,0.005812644958496094
774,0.005863070487976074
775,0.0059500932693481445
776,0.005930066108703613
777,0.005863666534423828
778,0.00596010684967041
779,0.005908489227294922
780,0.005926966667175293
781,0.0059397220611572266
782,0.005865931510925293
783,0.005957245826721191
784,0.00615382194519043
785,0.006064057350158691
786,0.005902290344238281
787,0.0059778690338134766
788,0.0062400102615356445
789,0.006042003631591797
790,0.0060465335845947266
791,0.006072044372558594
792,0.006051421165466309
793,0.0061762332916259766
794,0.00610661506652832
795,0.006081700325012207
796,0.0060395002365112305
797,0.006104707717895508
798,0.0061713457107543945
799,0.006083130836486816
800,0.006156325340270996
801,0.0061560869216918945
802,0.006228923797607422
803,0.006289005279541016
804,0.006196856498718262
805,0.006237149238586426
806,0.006228208541870117
807,0.0063364505767822266
808,0.006231784820556641
809,0.006281733512878418
810,0.0064084529876708984
811,0.006363987922668457
812,0.006351351737976074
813,0.006357789039611816
814,0.006338953971862793
815,0.006306886672973633
816,0.006357550621032715
817,0.00636601448059082
818,0.006363034248352051
819,0.006393074989318848
820,0.006415367126464844
821,0.006495475769042969
822,0.006464242935180664
823,0.0064928531646728516
824,0.006501436233520508
825,0.0065315961837768555
826,0.0064754486083984375
827,0.006616830825805664
828,0.006656646728515625
829,0.006634712219238281
830,0.0065915584564208984
831,0.00659787654876709
832,0.006630659103393555
833,0.006703972816467285
834,0.006759762763977051
835,0.006807684898376465
836,0.006722569465637207
837,0.006780147552490234
838,0.006801724433898926
839,0.006723999977111816
840,0.006714820861816406
841,0.0067141056060791016
842,0.0067136287689208984
843,0.006830453872680664
844,0.006945013999938965
845,0.006851553916931152
846,0.006969809532165527
847,0.0068492889404296875
848,0.006800293922424316
849,0.006846189498901367
850,0.007091879844665527
851,0.006969928741455078
852,0.0069789886474609375
853,0.007028341293334961
854,0.006953835487365723
855,0.00694119930267334
856,0.007046818733215332
857,0.007175445556640625
858,0.007021307945251465
859,0.007013797760009766
860,0.007058143615722656
861,0.0070427656173706055
862,0.007088780403137207
863,0.007083773612976074
864,0.007090568542480469
865,0.007156014442443848
866,0.007168769836425781
867,0.007157802581787109
868,0.0071637630462646484
869,0.0072928667068481445
870,0.0074117183685302734
871,0.00743865966796875
872,0.007440328598022461
873,0.007454037666320801
874,0.007316708564758301
875,0.007500052452087402
876,0.0075283050537109375
877,0.007384181022644043
878,0.007476806640625
879,0.007452487945556641
880,0.007572054862976074
881,0.007647037506103516
882,0.00760650634765625
883,0.007478952407836914
884,0.007591128349304199
885,0.0075931549072265625
886,0.007561445236206055
887,0.007547259330749512
888,0.007557868957519531
889,0.007535815238952637
890,0.0075577497482299805
891,0.007574796676635742
892,0.007650256156921387
893,0.0077898502349853516
894,0.007866144180297852
895,0.007868766784667969
896,0.00787198543548584
897,0.007753252983093262
898,0.0079270601272583
899,0.007863163948059082
900,0.0078812837600708
901,0.007933616638183594
902,0.007851839065551758
903,0.007865309715270996
904,0.00794374942779541
905,0.007854580879211426
906,0.008032441139221191
907,0.00791776180267334
908,0.007953882217407227
909,0.007869243621826172
910,0.007957816123962402
911,0.007978677749633789
912,0.007987380027770996
913,0.00808560848236084
914,0.008155465126037598
915,0.008063197135925293
916,0.008046388626098633
917,0.008102774620056152
918,0.008129239082336426
919,0.00825643539428711
920,0.008104085922241211
921,0.008214354515075684
922,0.008252859115600586
923,0.008314251899719238
924,0.008343696594238281
925,0.008416295051574707
926,0.008332133293151855
927,0.008568644523620605
928,0.008450031280517578
929,0.008381962776184082
930,0.00828850269317627
931,0.008417606353759766
932,0.008597970008850098
933,0.008397102355957031
934,0.008381485939025879
935,0.008332967758178711
936,0.00840771198272705
937,0.008576631546020508
938,0.008488893508911133
939,0.008618712425231934
940,0.00856935977935791
941,0.008590459823608398
942,0.008684039115905762
943,0.008689641952514648
944,0.00863790512084961
945,0.0087432861328125
946,0.008713006973266602
947,0.00871133804321289
948,0.008800029754638672
949,0.00871121883392334
950,0.008821845054626465
951,0.008608222007751465
952,0.0087205171585083
953,0.008830904960632324
954,0.00890493392944336
955,0.008845686912536621
956,0.008730649948120117
957,0.008760213851928711
958,0.008954763412475586
959,0.008972883224487305
960,0.00894010066986084
961,0.008861303329467773
962,0.008767127990722656
963,0.008854031562805176
964,0.008957982063293457
965,0.00896000862121582
966,0.008907198905944824
967,0.008871316909790039
968,0.008959770202636719
969,0.009102582931518555
970,0.009109973907470703
971,0.008988380432128906
972,0.009109735488891602
973,0.00906980037689209
974,0.009034037590026855
975,0.009088397026062012
976,0.00921642780303955
977,0.009145617485046387
978,0.009184837341308594
